ID;Bibl. Eintrag;Schranknummer - Praun'scher Katalog;Rang - Praun'scher Katalog;Titelreihenfolge - Praun'scher Katalog;Systemtische Zuordnung - Praun'scher Katalog;Imagez‰hlung Digitalisat - Praun'scher Katalog;Katalogseitenz‰hlung- Praun'scher Katalog;Katalogeintrag Praun'scher Katalog;Erg‰nzungen zum Katalogeintrag - Praun'scher Katalog;PPN-Nummer Manifestationsebene;Anmerkungen - Praun'scher Katalog und edit.;Bandz‰hlung - katalog¸bergreifend;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;4. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
558;551;V;(b) 2. rang in octav.;51-53;Angleterre;80;62;Mem. du regne de George I. Haie 1729. T. I. II. III.;;137304242;;3;137304250;M: Gr 534:1;;Geschichte - Groﬂbritannien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Exlibris: Elisabetha Sophia Maria Verwittwete Herzoginn Zu Br. U. Lun., Provenienz: Elisabeth Sophie Marie <Braunschweig-Wolfenb¸ttel, Herzogin> / Exlibris / Wappen, Elisabeth Sophie Marie <Braunschweig-L¸neburg, Herzogin>;;Acus;fre;Memoires Du Regne De George I. Roi de la Grande Bretagne, de France & d'Irlande, DÈfenseur de la Foi, Electeur de Brunswyck-Lunebourg, &c. &c. &c.;1729;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Henri Philippe;Limiers;Henri Philippe de Limiers;Q17907944;male;120303132;Unbekannt;;;;;;;;;;;;;;;;;Georg;Groﬂbritannien, Kˆnig;118538535;;;;;;;
559;552;V;(b) 2. rang in octav.;54;Angleterre;80;62;Tr. de pouvoir des Rois de la Gr. Bretagne. Amst. 1714.;;150377622;;1;150377622;M: Gr Mischbd. 42 (1), Schulenb. Ge 21 (4);;Geschichte - Groﬂbritannien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;TraitÈ Du Pouvoir Des Rois De La Grande Bretagne;1714;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Henry;Sacheverell;Henry Sacheverell;Q2625371;male;120166658;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
560;553;V;(b) 2. rang in octav.;55;Angleterre;80;62;Les Avocats pour et contre le Dr Sacheverell, Amst. 1711.;;150977212;;1;150977212;M: Gr Mischbd 43 (1), Schulenb. T 155 (2);;Geschichte - Groﬂbritannien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Les Avocats Pour Et Contre Le Dr. Sacheverell;1711;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;John;Saint Leger;Saint Leger, John;;male;1055521038;M‰nnlich;;;;;;;;;;;;;;;;;Henry;Sacheverell;120166658;;;;;;;
561;554;V;(b) 2. rang in octav.;56;Angleterre;80;62;Le secret des cours, ou les man de Walsingham, Secret. d'Etat sous la R. Elisabeth. Col. 1695.;;535992076;;1;535992076;M: Sf 65, Xd 8∞ 1188 ;Xd 8∞ 1188 ;Staatswissenschaften - Staatslehre und Politik;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Montbail, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aav;fre;Le Secret Des Cours, Ou Les Memoires De Walsingham, Secretaire d'Etat sous la Reine Elisabeth;1695;Cologne [fingiert];ohne Ort;;;;Eustache de;Refuge;Eustache de Refuge;Q3061071;male;128508523;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
562;555;V;(b) 2. rang in octav.;57-60;Angleterre;81;63;Hist. de la reformation d'Angleterre, trad. de l'anglois de Mr Burnet, par Mr de Rosemond, Amst. 1687. T. I. II. III. IV.;;183339525;;4;247349496;M: Gr 667:1,1;;Geschichte - Groﬂbritannien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;Histoire De La Reformation De L'Eglise D'Angleterre,;1687;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Gilbert;Burnet;Gilbert Burnet;Q2250014;male;118674978;M‰nnlich;;;;;;;;;Jean-Baptiste;Rosemond;100861024;Unbekannt;;;;;;;;;;;;;;
563;556;V;c) 3. rang, in Octav.;61-62;Oeuvres divers;81;63;Pausanias, ou voiage histor. de la Grece, trad. par l'AbbÈ Gedoyn. Par. 1731. T. I. II.;;143485288;;2;226002896;M: Lg 4∞ 137:1;;Literatur - Griechische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Exlibris: Ex Bibliotheca LR Ducis Brunsvicensis Et Luneburgensis, Provenienz: Ludwig Rudolf <Braunschweig-Wolfenb¸ttel, Herzog> / Exlibris / Monogramm, Provenienz: Ludwig Rudolf <Braunschweig-Wolfenb¸ttel, Herzog> / Etikett / Nummer, Ludwig Rudolf <Braunschweig-L¸neburg, Herzog>;;Acr;fre;Pausanias, ou voyage historique de la Grece, traduit en FranÁois;1731;Paris;Paris;4044660-8;Paris;tgn/7008038;Pausanias;Periegeta ;Pausanias;Q192931;male;118592246;Unbekannt;;;;;;;;;Nicolas;GÈdoyn;100483208;Unbekannt;;;;;;;;;;;;;;
564;557;V;c) 3. rang, in Octav.;63;Oeuvres divers;81;63;L'Arriane, de Mr Des Marets. Par. 1643.;;151890161;;1;151890161;A: 1.2 Eth., Wa 6169;;;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;L' Ariane.;1643;Paris;Paris;4044660-8;Paris;tgn/7008038;Jean;Desmarets de Saint-Sorlin;Jean Desmarets;Q266337;male;118934791;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
565;558;V;c) 3. rang, in Octav.;64;Oeuvres divers;81;63;Q. Curce, de la vie et des actions d'Alexandre le Grand, trad. par M. de Vaugelas. Rouen 1664.;;15106914X;;1;15106914X;M: Lh 761;M: Lh 761;Literatur - Rˆmische Literatur;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Montbail, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;Quinte-Curce, de la Vie et des actions d'Alexandre le Grand;1664;Rouen;Rouen;4050751-8;Rouen;tgn/7008929;Quintus;Curtius Rufus;Quintus Curtius Rufus;Q5959;male;118523074;Unbekannt;;;;;;;;;Claude Favre;Vaugelas;118804014;M‰nnlich;;;;;;;;;;;;;;
566;559;V;c) 3. rang, in Octav.;65;Oeuvres divers;81;63;J. de Strada, Thresor des AntiquitÈs, ou portraits des Empereurs en Medailles. Lion 1653.;;151830487;;1;151830487;M: Fg 311, A: 38.15 Hist.;;Historische Hilfswissenschaften - Numismatik;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Epitome Dv Thresor Des Antiqvitez, C'est ‡ dire, Pourtraits des vrayes Medailles des Empp. tant d'Orient que d'Occident;1553;Lyon;Lyon;4036770-8;Lyon;tgn/8728756;Jacobus;Strada;Jacopo Strada;Q574388;male;118834320;M‰nnlich;;;;;;;;;Jean;Louveau;1055350403;Unbekannt;Johann Jakob;Fugger;M‰nnlich;118703501;;;;;;;;;;
567;560;V;c) 3. rang, in Octav.;66-68;Oeuvres divers;81;63;Essai de Mich. de Montaigne avec des notes par. P. Coste Par. 1725. T. I. II. III.;;150313934;;3;243573979;M: Lm 4∞ 63:1, Schulenb. P 2∞ 25:1;M: Lm 4∞ 63:1;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acr;fre;Les Essais;1725;Paris;Paris;4044660-8;Paris;tgn/7008038;Michel Eyquem;Montaigne;Michel de Montaigne;Q41568;male;118583573;M‰nnlich;;;;;;;;;Pierre;Coste;11900478X;M‰nnlich;;;;;;;;;;;;;;
568;561;V;c) 3. rang, in Octav.;69-71;Oeuvres divers;81;63;AbregÈ de la vie des plus fameux Peintres avec leurs portraits par M++ de l'Acad. R. des Sciences de Montpellier. Par. 1745. T. I. II. III.;;147682134;;3;147682142;M: Da 4∞ 18: 1;M: Da 4∞ 18: 1;Biographien - Biographien, alphabetisch;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acus;fre;AbregÈ De La Vie Des Plus Fameux Peintres;1745;Paris;Paris;4044660-8;Paris;tgn/7008038;Antoine Joseph;DÈzallier d'Argenville;Dezallier d'Argenville;Q585422;male;11938955X;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
569;562;V;c) 3. rang, in Octav.;72;Oeuvres divers;81;63;Fables nouv. par M. de la Motte. Par. 1719.;;150248067;;1;150248067;M: Lm 4∞ 51;;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Fables Nouvelles, DediÈes Au Roy;1719;Paris;Paris;4044660-8;Paris;tgn/7008038;Antoine Houdar;La Motte;Antoine Houdar de La Motte;Q586389;male;104270632;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
570;563;V;(c) 3. rang in quart.;73;Oeuvres divers;82;64;Essai philosoph. concern. l' Entendement humain, par Mr Locte, trad. de l'Anglois, par M. Coste. Amst. 1729.;;146403177;;1;146403177;M: Vb 4∞ 4;M: Vb 4∞ 4;Philosophie - Einzeldarstellungen;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Montbail, Signatur Praun'scher Katalog;Wappensupralibros: Dumas [de Montbail oder de Montmartin]. - Hs. Besitzvermerk: De Montbail. - Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg (vgl. von Praun'scher Katalog): V.c.79, Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie>;Aaus;fre;Essai Philosophique Concernant L'Entendement Humain, Ou L'On Montre Quelle Est L'Etendue De Nos Connoissances Certaines, Et La Maniere Dont Nous Y Parvenons;1729;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;John;Locke;John Locke;Q9353;male;118573748;M‰nnlich;;;;;;;;;Pierre;Coste;11900478X;M‰nnlich;Edmund;Sheffeild;;;;;;J.;Greenhill;;P.;Gunst;;
571;564;V;(c) 3. rang in quart.;74-75;Oeuvres divers;82;64;De l'Esprit des Loix, par M. le Presid. de Montequion. Gen. T. I. II. 76. Oeuvres de M. Matth. Terras. son Avocat en Parlement, Par. 1737.;;150315503;;2;150315511;M: Lm 4∞ 65:1, Rara;M: Lm 4∞ 65:1;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;De L'Esprit Des Loix Ou Du Rapport Que Les Loix Doivent Avoir Avec La Constitution De Chaque Gouvernement, Les Moeurs, Le Climat, La Religion, Le Commerce, &c. ‡ quoi l'Auteur a ajoutÈ Des recherches nouvelles sur les Loix Romaines ...;1748;Geneve;Genf;4020137-5;GenËve;tgn/7003746;Charles Louis de Secondat;Montesquieu;Montesquieu;Q15975;male;118583670;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
572;565;V;(c) 3. rang in quart.;76;Oeuvres divers;82;64;Oeuvres de M. Matth. Terras. son Avocat en Parlement, Par. 1737.;;235546070;;1;235546070;M: Rf 4∞ 17;M: Rf 4∞ 17;Recht - Franzˆsisches Recht;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;Wappensupralibros Dumas [de Montbail oder de Montmartin?], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie>;Aar;fre;Oeuvres De Feu Me. Mathieu Terrasson ... Contenant Plusieurs De Ses Discours Plaidoyers, Memoires & Consultations;1737;Paris;Paris;4044660-8;Paris;tgn/7008038;Mathieu;Terrasson;Mathieu Terrasson;Q60631798;male;1016114990;M‰nnlich;;;;;;;;;Antoine;Terrasson;1016201621;M‰nnlich;;;;;;;;;;;;;;
573;566;V;(c) 3. rang in quart.;77-78;Oeuvres divers;82;64;Fr. Mauriceau, Tr. des Maladies des Fem?es grosses et de celles qui sont accouches. Par. 1712. T. I. II.;;311949290;;2;Kein Ex. Vorhanden;;;;;;;;Acr;fre;TraitÈ des maladies des femmes grosses et de celles qui sont accouchÈes ...;1712;Paris;Paris;4044660-8;Paris;tgn/7008038;FranÁois;Mauriceau;FranÁois Mauriceau;Q546354;male;124564666;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
574;567;V;(c) 3. rang in quart.;79;Oeuvres divers;82;64;AbregÈ de la Jurisprudence Romaine, par C. Colombet Conseiller au Parlement. Par. 1682.;;164643176;;1;164643176;M: Rd 183;M: Rd 183;Recht - Rˆmisches Recht [II];Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;AbregÈ de la jurisprudence romaine;1682;Paris;Paris;4044660-8;Paris;tgn/7008038;Claude;Colombet;Claude Colombet;Q116324442;male;1157736874;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
575;568;V;(c) 3. rang in quart.;80;Oeuvres divers;82;64;Discours prononcÈs dans l'academie franÁoise ‡ la reception de M. de Fonce magne. Par. 1737.;;151718687;;1;151718687;M: Gk 2185 (1);M: Gk 2185 (1);Geschichte - Frankreich;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;Discours dans l'AcadÈmie FranÁoise;1737;Paris;Paris;4044660-8;Paris;tgn/7008038;…tienne LaurÈault;Foncemagne;…tienne LaurÈault de Foncemagne;Q289825;male;100278337;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
576;569;V;(c) 3. rang in quart.;81;Oeuvres divers;82;64;Ambassade de D. Garcius de Silva Fuguerra en Perse, trad. par M. de Micquefort. Par. 1667.;;150983476;;1;150983476;M: Gv 417, M: Gv 418;;Geschichte - Asien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Exlibris: Elisabetha Sophia Maria Verwittwete Herzoginn Zu Br. U. Lun., Provenienz: Elisabeth Sophie Marie <Braunschweig-Wolfenb¸ttel, Herzogin> / Exlibris / Wappen, Elisabeth Sophie Marie <Braunschweig-L¸neburg, Herzogin>;;Aau;fre;L' Ambassade de D. Garcias de Silva Figueroa en Perse, contenant la politique de ce grand Empire, les m≈ìurs du Roy Schach Abbas, et une Relation de tous les lieux de Perse et des Indes, o˘ cÈt Ambassadeur a estÈ l'espace de 8 annÈes qu'il y a demeurÈ: traduite de l'Espagnol par Mr. de Wicqfort;1667;Paris;Paris;4044660-8;Paris;tgn/7008038;...;Silva;Silva, ...;;unbekannt;1055393471;Unbekannt;;;;;;;;;Abraham;Wicquefort;104039752;M‰nnlich;;;;;;;;;;;;;;
577;570;V;(c) 3. rang in quart.;82;Oeuvres divers;82;64;Relation d'un voiage fait au Levant, par M. Thevenot, Par. 1664.;;151802165;;1;151802165;M: Gv 364;M: Gv 364;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Relation d'un voyage fait au Levant ...;1664;Paris;Paris;4044660-8;Paris;tgn/7008038;Jean;Thevenot;Jean de ThÈvenot;Q1284987;male;121201708;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
578;571;V;(c) 3. rang in quart.;83;Oeuvres divers;82;64;Les Bachanales, ou les loix de Bachus Roi d'Egypte et des Indes, par L. S. D. L. G. Lion 1650.;;151605807;;1;151605807;M: Lm 1626a;M: Lm 1626a;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Les Bachanales ou Loix de Bacchus Prince de Nyse en Arabie, Roy d'Egypte et des Indes et des bevveurs;1650;Lyon;Lyon;4036770-8;Lyon;tgn/8728756;Humbert G.;Goulat de LaGarenne;Goulat de LaGarenne, Humbert G. de;;male;1055532625;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
579;572;V;(c) 3. rang in quart.;84;Oeuvres divers;82;64;Les plaidoiers et harangues de M. le Maitre Avocat en Parlement Par. 1664.;;151386161;;1;151386161;M: Lm 2162;M: Lm 2162;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Neuhaus, G. / Autogramm, Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Les Plaidoyez et harangues;1664;Paris;Paris;4044660-8;Paris;tgn/7008038;Antoine;Le Maistre;Antoine Le Maistre;Q2421111;male;122427831;Unbekannt;;;;;;;;;Jean;Issali;1055345329;Unbekannt;;;;;;;;;;;;;;
580;573;V;(c) 3. rang in quart.;85;Oeuvres divers;83;65;Essai sur l'hom?e, par de Mr Pope, par M. le B. de Schleinitz. Helmst. 1749.;;226636593;;1;226636593;M: Lq 745;M: Lq 745;Literatur - Englische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm;Aaus;fre;Essai Sur L'Homme;1749;Helmstedt;Helmstedt;4024344-8;Helmstedt;tgn/7005247;Alexander;Pope;Alexander Pope;Q164047;male;118595741;M‰nnlich;;;;;;;;;Friedrich August;Schleinitz;122155998;Unbekannt;Hans Christoph;Schleinitz;M‰nnlich;139552235;;;;;;;;;;
581;574;V;(c) 3. rang in quart.;86;Oeuvres divers;83;65;Actions forenses singulieres et remarquables de M. Jul. Peleus, Avocat en Parlement. Par. 1604.;;225696800;;1;225696800;M: Rf 266;M: Rf 266;Recht - Franzˆsisches Recht;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;Les Actions Forenses Singulieres Et Remarquables De M. Iulien Peleus ... Contenans La Substance Des Plaidoyez, & moyens des parties, avec les Arrests des Cours Souveraines intervenuÎs en chaque cause;1604;Paris;Paris;4044660-8;Paris;tgn/7008038;Julien;Peleus;Julien Peleus;Q3189610;male;133956121;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
582;575;V;(c) 3. rang in quart.;87;Oeuvres divers;83;65;Loix militaires touchant le Duel, par M Scipion Du Pleix. Par. 1602.;;144325160;;1;144325160;A: 20.18 Jur., M: Rh 431;M: Rh 431;Recht - Deutsches Privatrecht;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Marthe Montbail, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aaus;fre;Les Loix Militaires Tovchant Le Dvel, DiuisÈes en quatre liures;1602;Paris;Paris;4044660-8;Paris;tgn/7008038;Scipion;Du Pleix;Scipion Dupleix;Q3475906;male;123381517;Unbekannt;;;;;;;;;...;Montespan;;;;;;;;;;I.;Vienne;;Fran.;Du Pleix;;
583;576;V;(c) 3. rang in quart.;87 b);Oeuvres divers;83;65;Les Cesars de l'Emp. Julien, trad. p. Spanheim. Par. 1696.;;198740034;erg‰nzt;1;198740034;M: Lg 4∞ 113;M: Lg 4∞ 113;Literatur - Griechische Literatur;Exemplar vorhanden;Provenienz Philippine Charlotte: Signatur Praun'scher Katalog, Besonderheit: weiﬂer Einband;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Aar;fre;Les Cesars de l'empereur Julien, traduits du Grec, avec des remarques et des preuves illustrÈes par les medailles ...;1696;Paris;Paris;4044660-8;Paris;tgn/7008038;Julian ;Rˆmisches Reich, Kaiser;Julian;Q33941;male;118558684;Unbekannt;;;;;;;;;Ezechiel;Spanheim;118615890;M‰nnlich;;;;;;;;;;;;;;
584;577;V;(c) 3. rang in quart.;87 c);Oeuvres divers;83;65;Compendio di vita d'Arrigo IV. Re di Francia, p Arrigo D. de B. L Ms.;;Titel nicht eindeutig identifizierbar;erg‰nzt;1;;;;;;;;;;fre;;;n.v.;ohne Ort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
585;578;V;d) 4. rang, in Octav.;88-90;Angleterre;83;65;Hist. des vies et des regnes. de tous les Rois et Reines d'Angleterre trad. de l'Anglois, Amst. 1729. T. I. II. III.;;150862059;;3;150862067;M: Gr 237;;Geschichte - Groﬂbritannien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Histoire vÈritable et secrÈtte des vies et des rÈgnes de tous les rois et reines d'Angleterre depuis Guillaume I. surnommÈ le conquerant, jusqu'‡ la fin du rÈgne de la Reine Anne ...;1729;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586;579;V;d) 4. rang, in Octav.;91;Angleterre;83;65;Mem. de Mis de Langallerie Haie 1743.;;151626448;;1;151626448;M: Lm 2055b;M: Lm 2055b;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Aar;fre;MÈmoires du Marquis de Langallery, ...;1743;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Philippe de Gentils;Langallerie;Philippe de Gentil de Langalerie;Q2087770;male;100975550;M‰nnlich;;;;;;;;;;Gautier de Faget ;101793553;Unbekannt;;;;;;;;;;;;;;
587;580;V;d) 4. rang, in Octav.;92-94;Angleterre;83;65;Hist. des revolutions d' Angletterre, par le P. d'Orleans, Amst. 1714. T. I. II. III.;;15144109X;;3;228135214;M: Gr 220:1;M: Gr 220:1;Geschichte - Groﬂbritannien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acu;fre;Histoire des rÈvolutions d'Angleterre Depuis le commencement de la Monarchie jusqu' ‡ prÈsent.;1714;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Pierre Joseph;OrlÈans;Pierre-Joseph d'OrlÈans;Q3383223;male;120555883;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
588;581;V;d) 4. rang, in Octav.;95-96;Angleterre;83;65;Mem. de J. Melvil, sous le regne de la R. Elisabeth de Marie Stuard et de Jacques I., par G. Scot. Haie T. I. II.;;137216807;;2;137216815;M: Db 3026;;Biographien - Briefsammlungen, Gelegenheitsschriften;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Memoires De Jaques Melvil;1694;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;James;Melville;James Melville of Halhill;Q6139636;male;122535731;Unbekannt;;;;;;;;;George;Scot;1073311856;Unbekannt;Gustav Daniel;Schmidt;Unbekannt;129425532;Elisabeth;England, Kˆnigin;118529870;Maria;Schottland, Kˆnigin;118577808;Jakob I.;England, Kˆnig;;118639889
589;582;V;d) 4. rang, in Octav.;96 b);Angleterre;83;65;La Vie d'Anne Stuart Reine de la Gr. Bretagne, Amst. 1716.;;151439001;;1;151439001;M: Gr 475;M: Gr 475;Geschichte - Groﬂbritannien;Provenienzen bereits im OPAC nachgewiesen;Provenienz Sophie Dorothea: Z‰hlung schwarz 113;, Provenienz: Sophie Dorothea <Preuﬂen, Kˆnigin> / Einband / Monogramm, Provenienz: NN / Einband / Etikett / Signatur, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Sophie Dorothea <Preuﬂen, Kˆnigin> / Einband / Monogramm;Aaus;fre;La Vie D'Anne Stuart Reine De La Grand-Bretagne, De France, & D'Irlande;1716;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;John;Oldmixon;John Oldmixon;Q6251204;male;100236944;M‰nnlich;;;;;;;;;;;;;;;;;Anna;Groﬂbritannien, Kˆnigin, 1665-1714;118649450;;;;;;;
