ID - Katalog Ende 18. Jh.;Imagez‰hlung - Digitalisat Katalog Ende 18. Jh.;Katalogseitenz‰hlung - Katalog Ende 18. Jh.;Schrankposition - Katalog Ende 18. Jh.;Titelreihenfolge - Katalog Ende 18. Jh.;Katalogeintrag Katalog Ende 18. Jh.;PPN-Nummer Manifestationsebene;Edit. Anmerkungen ;Bandz‰hlung;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
575;91;89;V. Arm. 5. Rang in Oktavo;1;Histoire moderne, ou Ètat prÈsent de tous les peuples du monde, trad. De l' Anglois de M. Salmon ‡ Amsterdam 1730. T. I. P. I La Chine.;151318603;;1;151318611;M: Gv 203, Schulenb. Gp 12;;Geschichte - Asien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Histoire moderne ou L'Ètat prÈsent de tous les peuples du monde ...;1730;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Thomas;Salmon;Thomas Salmon;Q15994727;male;124582540;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
576;91;89;V Arm. 5 RangÈe - Asie, Afrique, Amerique;02. Mai;Histoire de l' Amerique par G. Robertson, traduit de l' Anglois ‡ Francf. 1778 T. I-4.;150771916;;4;150771924;M: Gx 79;M: Gx 79;Geschichte - Amerika;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acr;fre;Histoire de l'AmÈrique;1778;Francfort;Frankfurt am Main;4018118-2;Frankfurt am Main;tgn/7005293;William;Robertson;William Robertson;Q1113461;male;118834541;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
577;91;89;V. Arm. 5. Rang in Oktavo;06. Sep;Histoire moderne des Chinois des Japanois des Indiens des Persans, des Turcs et des Russiens. T. I-4.;139968962;;4;186893949;M: Gb 199;M: Gb 199;Geschichte - Universalgeschichte;Exemplar vorhanden;Provenienz Sophie Dorothea: Supralibros Monogramm SD, schwarze Z‰hlung 156,  Signatur Praun'scher Katalog;, Provenienz: NN / Einband / Monogramm, Provenienz: NN / Einband / Etikett / Signatur, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Sophie Dorothea <Preuﬂen, Kˆnigin>;Acus;fre;Histoire Moderne Des Chinois, Des Japonnois, Des Indiens, Des Persans, Des Turcs, Des Russiens, &c.;1754;Paris;Paris;4044660-8;Paris;tgn/7008038;FranÁois-Marie;Marsy;FranÁois-Marie de Marsy;Q3083566;male;124169880;M‰nnlich;Adrien;Richer;12417003X;M‰nnlich;;;;;Charles;Rollin;117593540;M‰nnlich;;;;;;;;;;;;;
578;91;89;V. Arm. 5. Rang in Oktavo;Okt 14;Nouvelle relation de l' Afrique occidentale, enrichie de cartes, plans et figures, par le P. J. B. Labat. T. I-4.;15138343X;;5;184234484;M: Gw 103:1;M: Gw 103:1;Geschichte - Afrika;Exemplar vorhanden;Provenienz Sophie Dorothea: Supralibros Monogramm SD, Z‰hlung schwarz 89, Signatur Praun'scher Katalog;;Provenienz: Sophie Dorothea <Preuﬂen, Kˆnigin>;Acu;unbekannt;Nouvelle Relation De L'Afrique Occidentale;1728;Paris;Paris;4044660-8;Paris;tgn/7008038;Jean-Baptiste;Labat;Jean-Baptiste Labat;Q558167;male;100169805;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
579;92;90;V. Arm. 6. Rang - Asie, Afrique, Amerique;1;Histoire d' un voyage fait en la terre du BrÈsil autrement dite Amerique, par J. de Lery ‡ GÈnËve 1580.;15025430X;;1;15025430X;M: Gx 218;M: Gx 218;Geschichte - Amerika;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Histoire d'vn voyage faict en la terre dv Bresil, avtrement dite Amerique ...;1580;GenÈve;Genf;4020137-5;GenËve;tgn/7003746;Jean;LÈry;Jean de LÈry;Q348377;male;119224089;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
580;92;90;V. Arm. 6. Rang in Oktavo;02. Jun;Voyages de M. Thevenot en Europe, Asie et Afrique ‡ Paris 1689 T. I-5.;151802211;;5;15180222X;M: Gv 125:1, M: Gv 125a;M: Gv 125:1;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Voyages ... tant en Europe qu'en Asie et en Afrique;1689;Paris;Paris;4044660-8;Paris;tgn/7008038;Jean;Thevenot;Jean de ThÈvenot;Q1284987;male;121201708;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
581;92;90;V. Arm. 6. Rang in Oktavo;07. Aug;Histoire de Tamerlan empereur des Mogols et conquÈrant de l' Asie ‡ Paris 1739. T. I, 2.;150711026;;2;241767520;M: Gv 162;M: Gv 162;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire De Tamerlan, Empereur Des Mogols Et Conquerant De L'Asie;1739;Paris;Paris;4044660-8;Paris;tgn/7008038;Jean-Baptiste;Margat de Tilly;Jean-Baptiste Margat de Tilly;Q50212214;male;1055358781;Unbekannt;;;;;;;;;Pierre;Brumoy;132900122;Unbekannt;;;;;;;;;;;;;
582;92;90;V. Arm. 6. Rang in Oktavo;09. Nov;Histoire de l' empire Ottoman par Demetrius Cantimir, Prince de Moldavie trad. Par M. de Joncquieres ‡ Paris 1743 T. I-3.;150486502;;3;254642926;M: Gv 1016.1:1;M: Gv 1016.1:1;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;Histoire De L'Empire Othoman, O˘ Se Voyent Les Causes De Son Aggrandissement Et De Sa Decadence;1743;Paris;Paris;4044660-8;Paris;tgn/7008038;Dimitrie;Moldau, Woiwode;Dimitrie Cantemir;Q159933;male;118518879;M‰nnlich;;;;;;;;;...;JoncquiËres;142100714;M‰nnlich;;;;;;;;;;;;;
583;92;90;V. Arm. 6. Rang in Oktavo;12;Relation de divers voyages faits dans l' Afrique l' Amerique et aux Indes occidentales par le Sr Dralse de Grandpierre ‡ Paris 1718.;136161960;;1;136161960;M: Cc 261;M: Cc 261;Geographie - Reisebeschreibungen;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aau;fre;Relation de divers voyages faits dans l'Afrique, dans l'Amerique, & aux Indes Occidentales;1718;Paris;Paris;4044660-8;Paris;tgn/7008038;...;DralsÈ de Grand-Pierre;DralsÈ de Grand-Pierre, ...;;unbekannt;124757146;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
584;92;90;V. Arm. 6. Rang in Oktavo;13;Nouveau voyage du Levant par le Sr Dumont ‡ la Haye 1694.;135186994;;1;135186994;M: Gv 134, H: T 51ccc.8∞ Helmst.;;Geschichte - Asien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Nouveau Voyage Du Levant, Par le Sieur D. M.;1694;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Jean;Dumont;Jean Dumont;Q3171864;male;124332269;Unbekannt;;;;;;;;;Guillaume;Schuylenburg;;;;;;;;;;;;;;;
585;92;90;V. Arm. 6. Rang in Oktavo;14-15;Relation des voyages en Tartarie par P. Bergeron ‡ Paris 1634. T. I, 2.;150277369;;2;150277369;M: Gv 159;M: Gv 159;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;"Mit Notiz: ""Ce livre vient de la Bibliotheque de M. Gudinis[?]. VenduÎ ‡ Hamburg en 1706"", Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur";Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aau;fre;Relation Des Voyages En Tartarie de Fr. Gvillavme de Rvbrvqvis, Fr. Jean Dv Plan Carpin, Fr. Ascelin, [et] autres Religieux de S. FranÁois [et] S. Dominique, qui y furent envoyez par le Pape Innocent IV. [et] le Roy S. Louys. Plvs Vn TraictÈ des Tartares ... Avec Vn AbrÈgÈ De L'Histoire Des Sarasins et Mahometans ...;1634;Paris;Paris;4044660-8;Paris;tgn/7008038;;;;;;;;;;;;;;;;Pierre;Bergeron;1014563968;Unbekannt;;;;;Johannes;de Plano Carpini;119292823;Guilelmus;Rubruquis;118955373;Nicolaus Ascelinus;;119292823
586;93;91;V. Arm. 6. Rang in Oktavo;16-22;Histoire de l' empire Ottoman trad. De l' Italien de Sagredo par M. Laurent ‡ Amsterdam 1742. T. I-7.;150975953;;7;150975961;M: Gv 980.1:1;M: Gv 980.1:1;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire De L'Empire Ottoman;1732;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Giovanni;Sagredo;Giovanni Sagredo;Q3107337;male;129417777;M‰nnlich;;;;;;;;;...;Laurent;1055520988;Unbekannt;;;;;;;;;;;;;
587;93;91;V. Arm. 6. Rang in Oktavo;23-24;Voyage de Syrie et du mont Libanon par M. de la Roque ‡ Utrecht 1723 T. I, 2.;Titel im GVK nicht vorhanden;;2;;;;;;;;;;fre;;1723;Utr.;Utrecht;4062222-8;Utrecht;tgn/7003627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
588;93;91;V. Arm. 6. Rang in Oktavo;25-27;Voyage d' Italie de Dalmacie de Grece et du Levant en 1675 par J.  Spon  et  G.  Wheler  ‡  Lion 1678. T. I-3.;155922084;;3;155922092;M: Cc 555:1;;Geographie - Reisebeschreibungen;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;Voyage D'Italie, De Dalmatie, De Grece, Et Dv Levant, Fait aux annÈes 1675. [et] 1676. par Iacob Spon Docteur Medecin AggregÈ ‡ Lyon, [et] George Vvheler Gentilhomme Anglois;1678;Lyon;Lyon;4036770-8;Lyon;tgn/8728756;Jacob;Spon;Jacob Spon;Q1320032;male;119228998;M‰nnlich;George;Wheler;128378565;Unbekannt;;;;;;;;;;;;;;;;;;;;;
589;93;91;V. Arm. 6. Rang in Oktavo;28-30;Voyage du P. Lucas, fait en 1714 dans la Tartarie, l' Asie ‡ Paris 1724 T. I-3.;217011160;;3;217011225;M: Cc 383:1;M: Cc 383:1;Geographie - Reisebeschreibungen;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Voyage du Sieur Paul Lucas, fait en M.DCCXIV, &c. par ordre de Louis XIV. dans la Turquie, l'Asie, Sourie, Palestine, Haute et Basse Egypte, &c.;1724;Paris;Paris;4044660-8;Paris;tgn/7008038;Paul;Lucas;Paul Lucas;Q433401;male;117665665;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
590;93;91;V. Arm. 6. Rang in Oktavo;31;Voyage dans la Palestine avec la description gÈnÈrale de l' Arabie, par M. de la Roque ‡ Amsterdam 1718.;147166918;;1;147166918;M: Gv 551;M: Gv 551;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;"Voyage dans la Palestine, Vers le Grand Emir, Chef des Princes Arabes du Desert, connus sous le nom de Bedoui??ns, ou d'Arabes Scenites, qui se disent la vrai??e posteritÈ d'IsmaÎl fils d'Abraham fait par ordre du Roi Louis XIV. ; avec la description gÈnÈrale de l'Arabie, faite par le Sultan Ismael Abulfeda, traduite en FranÁois sur les meilleurs manuscrits, avec des notes";1718;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Laurent;Arvieux;Laurent d'Arvieux;Q3219589;male;118848224;Unbekannt;;;;;;;;;Jean;La Roque;132984245;Unbekannt;;;;;Ludwig XIV.;Frankreich, Kˆnig;118816829;;;;;;
591;93;91;V. Arm. 6. Rang in Oktavo;32;Voyage de l' Arabie heureuse ‡ Amsterdam 1716.;151033420;;1;151033420;M: Gv 463;;Geschichte - Asien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Voyage de l'Arabie Heureuse, par l'Ocean Oriental, & le DÈtroit de la Mer Rouge, Fait par les FranÁois pour la premiere fois, dans les annÈes 1708, 1709 & 1710;1716;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Jean;La Roque;Jean de la Roque;Q3175511;male;132984245;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
592;93;91;V. Arm. 6. Rang in Oktavo;33-35;Histoire des Grands-Vizers mahomet et Achmet Coprogli ‡ Paris 1679. T. I-3.;151693234;;3;253259940;M: Gv 1007:1;M: Gv 1007:1;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire Des Grands Vizirs Mahomet Coprogli Pacha, Et Achmet Coprogli Pacha;1679;Paris;Paris;4044660-8;Paris;tgn/7008038;FranÁois;Chassepol;FranÁois de Chassepol;Q104029033;male;1055507388;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
593;93;91;V. Arm. 6. Rang in Oktavo;36;Relation d' un voyage fait aux cotÈs d' Afrique en 1695, 96 et 97 par le Sr Froyer ‡ Amsterdam 1699;135657873;;1;135657873;M: Cc 233;;Geographie - Reisebeschreibungen;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;Relation D'un Voyage Fait en 1695. 1696. & 1697. Aux CÙtes D'Afrique, DÈtroit de Magellan, Bresil, Cayenne et Isles Antilles, Par une Escadre des Vaisseaux du Roi, commandÈe par M. De Gennes;1699;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;FranÁois;Froger;FranÁois Froger;Q3084647;male;11753854X;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
594;94;92;V. Arm. 6. Rang in Oktavo;37-39;Description du cap de bonne espÈrancÈ, tirÈe des mÈmoires de P. Kolbe ‡ Amsterdam 1741 T. I-3.;181408333;;3;181408384;M: Gw 76:1;M: Gw 76:1;Geschichte - Afrika;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Description du Cap de Bonne-EspÈrance, ou l'on trouve ... les usages des Hottentots et l'Ètablissement des Hollandois;1741;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Peter;Kolb;Peter Kolbe;Q108400;male;118868675;M‰nnlich;;;;;;;;;Jean;Bertrand;;;;;;;;;;;;;;;
595;94;92;V. Arm. 6. Rang in Oktavo;40-43;Les entretiens des voyageurs sur la mer ‡ Cologne 1715. T. I-4.;151717478;;4;151717486;M: Lm 1466:1;M: Lm 1466:1;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Les Entretiens des voyageurs sur la mer;1715;Cologne;Kˆln;4031483-2;Kˆln;tgn/1003171;;;;;;;;;;;;;;;;GÈdÈon;Flournois;125845286;M‰nnlich;;;;;;;;;;;;;
596;94;92;V. Arm. 7. Rang in Oktavo;1;Voyage d' Espagne ‡ Bender ‡ Paris 1721.;149961154;;1;149961154;M: Gv 963;M: Gv 963;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;(Relation d'un) Voyage d'Espagne ‡ Bender contenant, un dÈtail circonstanciÈ de ce qu'il y a de plus remarquable ‡ Constantinople, et en d'autres endroits de l'empire ottoman ...;1721;Paris;Paris;4044660-8;Paris;tgn/7008038;Jules Alexis Bernard;Bellerive;Bellerive, Jules Alexis Bernard de;;male;1016395310;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
597;94;92;V. Arm. 7. Rang in Oktavo;02. Apr;Histoire de l' empire Ottoman, trad. De l' Anglois de M. le chev. Ricaut ‡ la Haye 1729 T. I-3.;151473153;;3;151473161;M: Gv 974.3:1 (1);M: Gv 974.3:1 (1);Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: NN / Tektur, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire De L'Empire Ottoman;1709;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Paul;Rycaut;Paul Rycaut;Q3372144;male;118894803;M‰nnlich;;;;;;;;;Pierre;Briot;1026674085;M‰nnlich;;;;;;;;;;;;;
598;94;92;V. Arm. 7. Rang in Oktavo;05. Jun;MÈmoires du Sr de la Croix secretaire de l' ambassade de Constantinopel ‡ Paris 1684 T. I, 2.;151528519;;2;151528527;M: Lm 1937:1;M: Lm 1937:1;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;MÈmoires du sieur de La Croix;1684;Paris;Paris;4044660-8;Paris;tgn/7008038;FranÁois;PÈtis de la Croix;FranÁois PÈtis de la Croix;Q561423;male;117702269;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
599;94;92;V. Arm. 7. Rang in Oktavo;7;Histoire gÈnÈrale du serait et de la cour du Grand Seigneur par M. Baudier ‡ Rouen 1642.;150260385;;1;150260385;M: Gv 16, A: 437.6 Hist. (1);;Geschichte - Asien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Histoire gÈnÈrale du serrail, et de la cour du Grand Seigneur, Empereur des Turcs ... Ensemble l'Histoire de la Cour du Roy de la Chine;1642;Rouen;Rouen;4050751-8;Rouen;tgn/7008929;Michel;Baudier;Michel Baudier;Q3088440;male;128982187;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
600;94;92;V. Arm. 7. Rang in Oktavo;08. Nov;Histoire de l' Amerique septentrionale, par M. Bacqueville de la Potherie ‡ Paris 1722 T. I-4.;151138001;;4;15113801X;M: Gx 332:1;M: Gx 332:1;Geschichte - Amerika;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire de l'AmÈrique septentrionale;1722;Paris;Paris;4044660-8;Paris;tgn/7008038;Claude Charles LeRoy;Bacqueville de la Potherie;Bacqueville de la Potherie;Q2878465;male;101504802;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
601;94;92;V. Arm. 7. Rang in Oktavo;12;Histoire de la conquÍte du royaume de Jerusalem sur les chrÈtiens par Saladin ‡ Paris 1679.;151314012;;1;151314012;M: Gv 543;M: Gv 543;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Histoire de la conqueste du royaume de JÈrusalem sur les Chrestiens par Saladin;1679;Paris;Paris;4044660-8;Paris;tgn/7008038;;;;;;;;;;;;;;;;...;Cabart de Villermont;1055590749;Unbekannt;Samuel;Broe??;Unbekannt;12403327X;;;;;;;;;
602;95;93;V. Arm. 7. Rang in Oktavo;13;Nouveau voyage de M. le B. de la Hontan dans l' Amerique septentrionale ‡ la Haye 1703.;15025007X;;1;150250088;M: Gx 400:1;;Geschichte - Amerika;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Nouveaux Voyages de Mr. Le Baron De Lahontan, Dans L'AmÈrique Septentrionale ...;1703;LaHaye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Louis Armand de Lom d'Arce;Lahontan;Louis-Armand de Lom d'Arce de Lahontan, Baron de Lahontan;Q2750183;male;119080230;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
603;95;93;V. Arm. 7. Rang in Oktavo;14-16;Histoire de la conquÍte des isles Moluques, trad. De l' Espagn. D' Argensola ‡ Amst. 1706 T. I-3.;147117437;;3;147117453;M: Gv 347:1;M: Gv 347:1;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;Histoire De La ConquÈte Des Isles Moluques Par Les Espagnols, Par Les Portugais, & Par Les Hollandois;1706;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;BartolomÈ;Leonardo de Argensola;BartolomÈ Leonardo de Argensola;Q2155112;male;128526017;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
604;95;93;V. Arm. 7. Rang in Oktavo;17;Histoire des Favorites, par Me de la Rocheguilhan ‡ Amst. 1702.;214991679;;1;214991741;M: Da 290;M: Da 290;Biographien - Biographien, alphabetisch;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acu;fre;Histoire Des Favorites, Contenant Ce Qui S'Est passÈ de plus remarquable Sous Plusieurs Regnes;1703;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Anne;La Roche-Guilhem;Anne de La Roche-Guilhem;Q2851352;female;119462222;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
