ID;Bibl. Eintrag;Schranknummer - Praun'scher Katalog;Rang - Praun'scher Katalog;Titelreihenfolge - Praun'scher Katalog;Systemtische Zuordnung - Praun'scher Katalog;Imagez‰hlung Digitalisat - Praun'scher Katalog;Katalogseitenz‰hlung- Praun'scher Katalog;Katalogeintrag Praun'scher Katalog;Erg‰nzungen zum Katalogeintrag - Praun'scher Katalog;ID - Katalog Ende 18. Jh.;Imagez‰hlung - Digitalisat Katalog Ende 18. Jh.;Katalogseitenz‰hlung - Katalog Ende 18. Jh.;Schrankposition - Katalog Ende 18. Jh.;Titelreihenfolge - Katalog Ende 18. Jh.;Katalogeintrag Katalog Ende 18. Jh.;PPN-Nummer Manifestationsebene;Anmerkungen - Praun'scher Katalog edit.;Bandz‰hlung - katalog¸bergreifend;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;4. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
765;756;VI;(g) 7. rang, in Octav.;196;Auteurs anciens;106;84;La Cyropedie, ou l'hist. de Cyrus, trad. du grec de Xenophon, par M. Charpentier, Haie 1717.;;1236;185;183;IX. Arm. 2. Rang in Oktavo;4;La Cyropacdie, ou l' histoire de Cyrus, trad du grec de Xenophon par M. Charpentier ‡ la Haye 1717.;151268460;;1;151268479;S: Alv.: Cb 221, M: Lg 2279 (1);;Literatur - Griechische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;La Cyropaedie;1717;A La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Xenophon;;Xenophon;Q129772;male;118635808;M‰nnlich;;;;;;;;;FranÁois;Charpentier;124866719;Unbekannt;;;;;;;;;;;;;;
766;757;VI;(g) 7. rang, in Octav.;197-198;Auteurs anciens;106;84;Oeuvres de Platon, trad. par Mr Dacier. Amst. 1744. T. I. II. ;;1245;186;184;IX. Arm. 2. Rang in Oktavo;31-32;Oeuvres de Platon, trad par M. Dacier ‡ Amsterd. 1744. T. I, 2.;037402315;;2;038584913;M: Lg 1659:1;M: Lg 1659:1;Literatur - Griechische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm;Acu;fre;Oeuvres De Platon;1744;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;AndrÈ;Darcier;Plato;Q859;male;118594893;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
767;758;VI;(g) 7. rang, in Octav.;199;Auteurs anciens;106;84;Oeuvres d'Anacreon et de Sappho. Par. 1692.;;1250;187;185;IX. Arm. 3. Rang in Oktavo;2;Les oeuvres d' AnacrÈon et de Sapho, trad du grec par M. de Longepierre ‡ Paris 1692.;151216487;;1;151216487;M: Lg 119, Xd 8∞ 693;M: Lg 119;Literatur - Griechische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg, Hs. Besitzvermerk u. Notiz: C. L. v. Schwalenberg. I. A. b)d, Nro. 12., Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aau;fre;Les Oeuvres D'AnacrÈon Et De Sapho;1692;Paris;Paris;4044660-8;Paris;tgn/7008038;Anacreon;;Anacreon;Q213484;male;118649035;Unbekannt;Sappho;;118605534;Weiblich;;;;;Hilaire Bernard de Requeleyne;Longepierre;100514200;Unbekannt;;;;;;;;;;;;;;
768;759;VI;(g) 7. rang, in Octav.;200;Auteurs anciens;106;84;Reflexions morales de l' Empereur Marc Antonin, avec des remarques de Mr et Me Dacier. Amst. 1740.;;1280;190;188;IX. Arm. 4. Rang in Oktavo;31;Reflexions morales de l' empereur Marc Antoine, trad M. et Mme Dacier ‡ Amsterdam 1740.;152534172;;1;15253430X;M: Lg 150:1;M: Lg 150:1;Literatur - Griechische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Monogramm: PC [d.i. Philippine Charlotte, Herzogin zu Braunschweig-L¸neburg], Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Provenienz: NN / Merkzeichen, Philippine Charlotte <Braunschweig-L¸neburg, Herzogin>;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm;Acu;fre;Reflexions Morales De L'Empereur Marc Antonin;1740;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Mark Aurel;Rˆmisches Reich, Kaiser;Marcus Aurelius;Q1430;male;118577468;Unbekannt;;;;;;;;;AndrÈ;Dacier;118523228;M‰nnlich;Anne;Dacier;Weiblich;118670840;;;;;;;;;;
769;760;VI;(g) 7. rang, in Octav.;201-203;Auteurs anciens;106;84;Comedies de Terence, trad. par Me Dacier. Rotterd. 1717. T. I. II. III.;;1293;192;190;IX. Arm. 5. Rang in Duodezimo;6-8;Les comÈdies de Terence trad par Mme Dacier ‡ Rotterdam 1717 T. I-3.;151816077;auch in K2 Nr. 1424;3;151816085;M: Lh 2355;M: Lh 2355;Literatur - Rˆmische Literatur;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Acr;lat;Les ComdÔ∏¢ies de TrÔ∏¢ence;1717;Rotteraam;Rotterdam;4050739-7;Rotterdam Zuid;tgn/7268776;Publius;Terentius Afer;Terence;Q172048;male;118621335;M‰nnlich;;;;;;;;;Anne;Dacier;118670840;Weiblich;;;;;;;;;;;;;;
770;760;VI;(g) 7. rang, in Octav.;201-203;Auteurs anciens;106;84;Comedies de Terence, trad. par Me Dacier. Rotterd. 1717. T. I. II. III.;;1424;210;208;X Arm. 5 RangÈe in Duodezimo. ThÈatre;33-35;Les comÈdies de Terence par Mme Dacier ‡ Rotterd. 1717. T. I-3.;Dublette K2;Dublette s. K2 Nr. 1293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
771;761;VI;(g) 7. rang, in Octav.;204-206;Auteurs anciens;106;84;Dictionaire de Mythologie pour l'intelligence des Poetes. Par. 1745. T. I. II. III.;;1478;221;219;XI. Arm. 2. Rang in Oktavo;8-10;Dictionnaire  de  Mythologie  ‡ Paris 1745. T. I-3.;13510260X;;3;162863918;M: Ho 51:1;M: Ho 51:1;Kulturgeschichte - Mythologie;Provenienzen bereits im OPAC nachgewiesen;;, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Philippine Charlotte <Braunschweig-L¸neburg, Herzogin>;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm;Acus;fre;Dictionnaire De Mythologie;1745;Paris;Paris;4044660-8;Paris;tgn/7008038;AndrÈ;Claustre;AndrÈ Declaustre;Q18012132;male;132582945;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
772;762;VI;(g) 7. rang, in Octav.;207;Auteurs anciens;106;84;Les vies des grands Capitaines Grecs et Romains, de Cornelius Nepos. trad. par Mr le Gras, Berl. 1746.;;1233;184;182;IX. Arm. 2. Rang in Oktavo;1;Les vies des grands capitaines Grecs et Romains de Cornelius Nepos, trad par M. le Gras ‡ Berlin 1746.;150730330;;1;150730330;M: Lh 1441;M: Lh 1441;Literatur - Rˆmische Literatur;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Aar;lat;Les Vies des grands capitaines grecs et romains;1746;Berlin;Berlin;4005728-8;Berlin;tgn/7003712;Cornelius;Nepos;Cornelius Nepos;Q109594;male;118747681;M‰nnlich;;;;;;;;;Antoine;Le Gras;104133287;Unbekannt;;;;;;;;;;;;;;
773;763;VI;(g) 7. rang, in Octav.;208;Auteurs anciens;106;84;PensÈÈs de Cieron, trad. pour servir ‡ l'education de la jeunesse par M. AbbÈ d'Olivet. Amst. 1746.;;1273;189;187;IX. Arm. 4. Rang in Oktavo;22;PensÈes de Ciceron, trad pour servir ‡ l' education de la jeunesse, par l' abbÈ d' Olivet ‡ Amsterdam 1746.;151399069;;1;151399069;M: Lh 359;M: Lh 359;Literatur - Rˆmische Literatur;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Praun'scher Katalog;, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Philippine Charlotte <Braunschweig-L¸neburg, Herzogin>;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Aar;lat;PensÈes de Ciceron;1746;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Marcus Tullius;Cicero;Cicero;Q1541;male;118520814;M‰nnlich;;;;;;;;;Pierre Joseph;Olivet;117122033;M‰nnlich;;;;;;;;;;;;;;
774;764;VI;(g) 7. rang, in Octav.;209-210;Auteurs anciens;107;85;Lucien, de la trad. de N. Perrot Sr d'Ablancourt. Amst. 1709. I. I. II.;;1261;188;186;IX. Arm. 3. Rang in Oktavo;33-34;Lucien de la traduction de Perrot d' Ablencourt ‡ Amsterdam 1709 T. I, 2.;217067085;;2;21706714X;M: Lg 1414:1;M: Lg 1414:1;Literatur - Griechische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Monogramm: PC [d.i. Philippine Charlotte, Herzogin zu Braunschweig-L¸neburg], Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Philippine Charlotte <Braunschweig-L¸neburg, Herzogin>;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm;Acu;fre;Lucien, De La Traduction De N. Perrot, Sr. D'Ablancourt. Avec des Remarques sur la Traduction.;1709;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Lucianus;Samosatensis;Lucian of Samosata;Q177847;male;118575228;M‰nnlich;;;;;;;;;Nicolas Perrot;Ablancourt;123853850;Unbekannt;;;;;;;;;;;;;;
775;765;VI;(g) 7. rang, in Octav.;211;Auteurs anciens;107;85;Epitres amoureuses d'Ovide. Col. 1703.;;1292;192;190;IX. Arm. 4. Rang in Oktavo;5;Epitres amourcuses d' Ovide ‡ Cologne 1703.;15158544X;;1;15158544X;M: Lh 1567 (1);M: Lh 1567 (1);Literatur - Rˆmische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aavs;fre;Les Epitres Amoureues D'Ovide;1703;A Cologne;Kˆln;4031483-2;Kˆln;tgn/1003171;Publius;Ovidius Naso;Ovid;Q7198;male;118590995;M‰nnlich;;;;;;;;;Jacques;Harrewyn;128600187;M‰nnlich;;;;;;;;;;;;;;
776;766;VI;(g) 7. rang, in Octav.;212-213;Auteurs anciens;107;85;Histoire universelle de Trogue PompÈe reduite en abregÈ par Justin, trad. par M. D. L. M. 1694. T. I. II.;;1258;188;186;IX. Arm. 3. Rang in Oktavo;26-27;Histoire universelle de Trogue PompÈe, reduite en abrÈgÈ par Justin, trad par M. D. L. M. 1694 T. I, 2.;150881452;;2;301981604;M: Lh 1109:1;Xd 8∞ 1112:1;Literatur - Rˆmische Literatur;Exemplar vorhanden;Provenienz Montbail;Hs. Besitzvermerk: De Montbail;;Acus;fre;Histoire Universelle De Trogue PompÈe;1694;[S.l.];ohne Ort;;;;Marcus Iunianus;Iustinus;Justin;Q210853;male;11871435X;Unbekannt;;;;;;;;;Pompeius Trogus;;118595644;Unbekannt;Louis;Ferrier de la MartiniËre;Unbekannt;142073199;;;;;;;;;;
777;767;VI;(g) 7. rang, in Octav.;214-221;Auteurs anciens;107;85;Oeuvres d'Horace trad. par M. Dacier et le P. Sanadon. Amst. 1735. T. I. II. III. IV. V. VI. VII. VIII.;;1256;187;185;IX. Arm. 3. Rang in Oktavo;17-24;Oeuvres d' Horace, trad par M. Dacier et le P. Sandon ‡ Amsterdam 1735. T. I-8.;150870531;;8;15087054X;M: Lh 1011;M: Lh 1011;Literatur - Rˆmische Literatur;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acr;lat;Oeuvres;1735;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Quintus;Horatius Flaccus;Horace;Q6197;male;118553569;M‰nnlich;;;;;;;;;Noe??l Etienne;Sanadon;100270565;M‰nnlich;AndrÈ;Dacier;M‰nnlich;118523228;;;;;;;;;;
778;768;VI;(g) 7. rang, in Octav.;222-224;Auteurs anciens;107;85;L'Iliade d'Homere, trad. par Me Dacier, Amst. 1731. T. I. II. III.;;1247;186;184;IX. Arm. 2. Rang in Oktavo;35-37;L' Hiade d' Homere trad par M. Dacier ‡ Amst. 1731 T. I-3.;171734807;;3;171735064;M: Lg 1098:1;M: Lg 1098:1;Literatur - Griechische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg (vgl. von Praun'scher Katalog): VII.g.222, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Philippine Charlotte <Braunschweig-L¸neburg, Herzogin>;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Acus;fre;Les Oeuvres D'Homere;1731;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Homerus;;Homer;Q6691;male;11855333X;M‰nnlich;;;;;;;;;Anne;Dacier;118670840;Weiblich;;;;;;;;;;;;;;
779;769;VI;(g) 7. rang, in Octav.;225-227;Auteurs anciens;107;85;L'OdyssÈe d'Homere trad. par Me Dacier. Amst. 1731. T. I. II. III.;;1248;186;184;IX. Arm. 2. Rang in Oktavo;38-40;L' OdyssÈe d' Homere trad par Mme Dacier ‡ Amsterdam 1731. T. I-3.;171734807;;3;171735455;M: Lg 1098:4;M: Lg 1098:4;Literatur - Griechische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg (vgl. von Praun'scher Katalog): VII.g.226, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Philippine Charlotte <Braunschweig-L¸neburg, Herzogin>;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Acus;fre;Les Oeuvres D'Homere;1731;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Homerus;;Homer;Q6691;male;11855333X;M‰nnlich;;;;;;;;;Anne;Dacier;118670840;Weiblich;;;;;;;;;;;;;;
780;770;VI;(g) 7. rang, in Octav.;228;Auteurs anciens;107;85;Supplement, conten. la vie d'Homere. Amst. 1731.;;1249;187;185;IX. Arm 3 RangÈe in oktavo traductions des auteurs anciens;1;SupplÈment, contenant la vie d' Homere. Amsterdam 1731;171734807;;1;171735609;M: Lg 1098:7;M: Lg 1098:7;Literatur - Griechische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg (vgl. von Praun'scher Katalog): VII.g.228, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Philippine Charlotte <Braunschweig-L¸neburg, Herzogin>;Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg (vgl. von Praun'scher Katalog): VII.g.228, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Philippine Charlotte <Braunschweig-L¸neburg, Herzogin>;Acus;fre;Les Oeuvres D'Homere;1731;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Homerus;;Homer;Q6691;male;11855333X;M‰nnlich;;;;;;;;;Anne;Dacier;118670840;Weiblich;;;;;;;;;;;;;;
781;771;VI;(g) 7. rang, in Octav.;229;Auteurs anciens;107;85;Comedies de Plaute, par M. Coste. Amst. 1716.;;1290;192;190;IX. Arm. 5. Rang in Duodezimo ;3;Les captifs, comÈdie de Plauto trad. par M. Coste ‡ Amst. 1716.;149900678;auch in K2 Nr. 1414;1;149900678;M: Lh 1712;M: Lh 1712;Literatur - Rˆmische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;lat;Les Captifs;1716;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Titus Maccius;Plautus;Plautus;Q47160;male;118594974;M‰nnlich;;;;;;;;;Pierre;Coste;11900478X;M‰nnlich;;;;;;;;;;;;;;
782;771;VI;(g) 7. rang, in Octav.;229;Auteurs anciens;107;85;Comedies de Plaute, par M. Coste. Amst. 1716.;;1414;209;207;X. Arm. 5. Rang in Duodezimo;12;Les captiss, comÈdie de Plaute, par M. Coste ‡ Amsterdam 1716.;Dublette K2;Dublette s. K2 Nr. 1290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
783;772;VI;(g) 7. rang, in Octav.;230;Auteurs anciens;107;85;La morale d'Epicure, avec des reflexions, Col. 1691.;;931;143;141;VII. Arm. 7. Rang in Oktavo;37;La morale d' Epicure avec des reflexions ‡ Col. 1691.;134938844;;1;134938844;M: Lg 739 (1);M: Lg 739 (1);Literatur - Griechische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;La morale d'Epicure avec des reflexions [par J. Parrain DesCoustures];1691;Cologne;Kˆln;4031483-2;Kˆln;tgn/1003171;Epicurus;;Epicurus;Q43216;male;118530585;Unbekannt;;;;;;;;;Jacques Parrain;Des Coutures;100104665;Unbekannt;;;;;;;;;;;;;;
784;773;VII;(a) 1. rang in folio;1-4;Dictionaires;113;87;Dictionaire historique et critique, par Mr P. Bayle, Rotterd. 1720. T. I. II. III. IV.;;89;22;20;II. Arm. 1. Rang in Folio;1-4;Dictionnaire historique et critique par P. Bayle Rotterdam 1720 T. I-4;139671730;;4;139671757;M: Ae 2∞ 3:1, Schulenb. A 2∞ 4:1;M: Ae 2∞ 3:1;Allgemeines - Enzyklop‰dien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;Dictionaire Historique et Critique;1720;Rotterdam;Rotterdam;4050739-7;Rotterdam Zuid;tgn/7268776;Pierre;Bayle;Pierre Bayle;Q214816;male;11850777X;M‰nnlich;;;;;;;;;Prosper;Marchand;119143240;M‰nnlich;;;;;;;;;;;;;;
785;774;VII;(a) 1. rang in folio;5-8;Dictionaires;113;87;Dictionaire historique de M. Morery, T. I. II. III. IV. V.;;90;22;20;II. Arm. 1. Rang in Folio;5-9;Dictionnaire historique de M. xxx T. I-4 avec le supplement Paris 1714;222799161;;4;222799323;M: Ga 2∞ 12:1;M: Ga 2∞ 12:1;Geschichte - Lexica, Methodisches, Geschichtsphilosophie;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Acr;fre;Le grand dictionaire historique, ou le mÈlange curieux de l'histoire sacrÈe et profane ...;1707;Paris;Paris;4044660-8;Paris;tgn/7008038;Louis;MorÈri;Louis MorÈri;Q1871889;male;121142655;M‰nnlich;;;;;;;;;...;Vaultier;1157779115;Unbekannt;;;;;;;;;;;;;;
786;775;VII;(a) 1. rang in folio;9;Dictionaires;113;87;Supplement tirÈ de l'edition de 1712. Par. 1714.;;;;;;;;222820780;;1;222820780;M: Ga 2∞ 16;M: Ga 2∞ 16;Geschichte - Lexica, Methodisches, Geschichtsphilosophie;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;Supplement aux anciennes editions du dictionnaire historique de Moreri;1714;Paris;Paris;4044660-8;Paris;tgn/7008038;;;;;;;;;;;;;;;;;;;;;;;;Louis;MorÈri;121142655;;;;;;;
787;776;VII;(a) 1. rang in folio;10-11;Dictionaires;113;87;Dictionaire franÁois, par P. Richelet. Par. 1719. T. I. II.;;1459;219;217;XI. Arm. 1. Rang in Folio;6-7;Nouveau Dictionnaire franÁois par Richelet ‡ Paris 1719. T. 1, 2.;151474311;;2;15147432X;M: Kb 2∞ 39:1;M: Kb 2∞ 39:1;Sprachwissenschaft - Lexikographie;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Nouveau Dictionnaire franÁoise;1719;Paris;Paris;4044660-8;Paris;tgn/7008038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
788;777;VII;(a) 1. rang in folio;12-13;Dictionaires;113;87;Dictionaire de l'academie franÁoise, Amst. 1695. IV. parties Vol. I. II.;;1461;219;217;XI. Arm. 1. Rang in Folio;11-12;Le grand Dictionnaire de l' academie franÁoise ‡ Amsterdam 1695. T. I-4.;151892628;;2;151892660;M: Kb 2∞ 36:1 (1), H: P 444.2∞  Helmst.;M: Kb 2∞ 36:1 (1);Sprachwissenschaft - Lexikographie;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acu;fre;Le grand Dictionnaire de l'AcadÈmie franÁoise ...;1695;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;;;;;;;;;;;;;;;;Thomas;Corneille;118670115;Unbekannt;;;;;;;;;;;;;;
789;778;VII;(a) 1. rang in folio;14-18;Dictionaires;113;87;Dictionaire universel, ‡ Trevoux, Par. 1721. T. I. II. III. IV. V.;;1458;219;217;XI. Arm. 1. Rang in Folio;1-5;Dictionnaire universel franÁois et latin. ImprimÈ ‡ Trevoux ‡ Paris 1721. 5. Vol.;151912394;;5;193955652;M: Kb 2∞ 26:1;M: Kb 2∞ 26:1;Sprachwissenschaft - Lexikographie;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Dictionnaire universel franoÃßis et latin.;1721;Paris;Paris;4044660-8;Paris;tgn/7008038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
790;779;VII;(b) 2. rang, in Octav.;19;Dictionaires;113;87;TraitÈ de la perspective, par B. Lamy. Par. 1701.;;1512;228;226;XII. Arm. 2. Rang;12;TraitÈ  de  perspective  par  B. Lamy ‡ Paris 1701.;150248660;;1;150248660;M: Ug 103;M: Ug 103;Kunst - Plastik und Malerei;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;TraitÈ De Perspective, O˘ sont contenus les fondemens de la Peinture;1701;Paris;Paris;4044660-8;Paris;tgn/7008038;Bernard;Lamy;Bernard Lamy;Q277219;male;119470977;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
791;780;VII;(b) 2. rang, in Octav.;20;Dictionaires;113;87;Le Cuisinier Gascon, Amst. 1749.;;;;;;;;361409125;;1;Kein Ex. Vorhanden;;;;;;;;Aar;fre;Le Cuisinier gascon;1740;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
